question_id,english,japanese,vietnamese,
1,I am the life of the party.,私はパーティーの中心人物だ。,Tôi là trung tâm của bữa tiệc.,
2,I feel little concern for others.,他人への関心はほとんどない。,Tôi ít quan tâm đến người khác.,
3,I am always prepared.,いつも準備万端だ。,Tôi luôn chuẩn bị sẵn sàng.,
4,I get stressed out easily.,すぐにストレスを感じる。,Tôi dễ bị căng thẳng.,
5,I have a rich vocabulary.,語彙が豊富だ。,Tôi có vốn từ vựng phong phú.,
6,I don't talk a lot.,あまり話さない。,Tôi không nói nhiều.,
7,I am interested in people.,人々に興味がある。,Tôi quan tâm đến mọi người.,
8,I leave my belongings around.,持ち物をあちこちに置き忘れる。,Tôi hay để đồ đạc lung tung.,
9,I am relaxed most of the time.,ほとんどの場合、リラックスしている。,Tôi thấy thư giãn hầu hết thời gian.,
10,I have difficulty understanding abstract ideas.,抽象的な考えを理解するのが難しい。,Tôi gặp khó khăn khi hiểu các ý tưởng trừu tượng.,
11,I feel comfortable around people.,人前で気楽に感じる。,Tôi cảm thấy thoải mái khi ở gần mọi người.,
12,I insult people.,人を侮辱する。,Tôi xúc phạm người khác.,
13,I pay attention to details.,細部にまで注意を払う。,Tôi chú ý đến chi tiết.,
14,I worry about things.,私は物事をあれこれ心配しがちだ。,Tôi lo lắng về mọi thứ.,
15,I have a vivid imagination.,鮮やかな想像力を持っている。,Tôi có trí tưởng tượng sống động.,
16,I keep in the background.,目立たないようにしている。,Tôi thích ở phía sau.,
17,I sympathize with others' feelings.,他人の気持ちに共感する。,Tôi thông cảm với cảm xúc của người khác.,
18,I make a mess of things.,物事を台無しにする。,Tôi làm mọi thứ rối tung lên.,
19,I seldom feel blue.,めったに落ち込まない。,Tôi hiếm khi cảm thấy buồn.,
20,I am not interested in abstract ideas.,抽象的な考えに興味がない。,Tôi không quan tâm đến các ý tưởng trừu tượng.,
21,I start conversations.,私は自分から話しかけるほうだ。,Tôi bắt đầu cuộc trò chuyện.,
22,I am not interested in other people's problems.,他人の問題に興味がない。,Tôi không quan tâm đến vấn đề của người khác.,
23,I get chores done right away.,雑用をすぐに片付ける。,Tôi hoàn thành công việc ngay lập tức.,
24,I am easily disturbed.,すぐに動揺する。,Tôi dễ bị xáo trộn.,
25,I have excellent ideas.,素晴らしいアイデアを持っている。,Tôi có những ý tưởng tuyệt vời.,
26,I have little to say.,話すことがほとんどない。,Tôi có ít điều để nói.,
27,I have a soft heart.,心が優しい。,Tôi có trái tim mềm mỏng.,
28,I often forget to put things back in their proper place.,物を元の場所に戻すのをよく忘れる。,Tôi thường quên để đồ đạc vào đúng chỗ.,
29,I get upset easily.,すぐに動揺する。,Tôi dễ nổi cáu.,
30,I do not have a good imagination.,想像力があまりない。,Tôi không có trí tưởng tượng tốt.,
31,I talk to a lot of different people at parties.,パーティーで多くの人と話す。,Tôi nói chuyện với nhiều người khác nhau trong bữa tiệc.,
32,I am not really interested in others.,他人にはあまり興味がない。,Tôi thực sự không quan tâm đến người khác.,
33,I like order.,秩序が好きだ。,Tôi thích sự ngăn nắp.,
34,I change my mood a lot.,気分がよく変わる。,Tôi thay đổi tâm trạng nhiều.,
35,I am quick to understand things.,物事の理解が早い。,Tôi hiểu mọi thứ nhanh chóng.,
36,I don't like to draw attention to myself.,自分に注目が集まるのは好きではない。,Tôi không thích thu hút sự chú ý.,
37,I take time out for others.,他人のために時間を作る。,Tôi dành thời gian cho người khác.,
38,I shirk my duties.,義務を怠る。,Tôi trốn tránh trách nhiệm.,
39,I have frequent mood swings.,気分の浮き沈みが激しい。,Tôi có những thay đổi tâm trạng thường xuyên.,
40,I use difficult words.,難しい言葉を使う。,Tôi sử dụng từ ngữ khó.,
41,I don't mind being the center of attention.,注目の中心になっても構わない。,Tôi không ngại là trung tâm chú ý.,
42,I feel others' emotions.,他人の感情を感じ取る。,Tôi cảm nhận được cảm xúc của người khác.,
43,I follow a schedule.,スケジュールに従う。,Tôi tuân theo lịch trình.,
44,I get irritated easily.,すぐにイライラする。,Tôi dễ bị khó chịu.,
45,I spend time reflecting on things.,物事をじっくり考える時間を持つ。,Tôi dành thời gian suy ngẫm về mọi thứ.,
46,I am quiet around strangers.,見知らぬ人の前では静かだ。,Tôi im lặng khi ở gần người lạ.,
47,I make people feel at ease.,人々を安心させる。,Tôi làm cho mọi người cảm thấy thoải mái.,
48,I am exacting in my work.,仕事に厳しい。,Tôi nghiêm khắc trong công việc.,
49,I often feel blue.,よく落ち込む。,Tôi thường cảm thấy buồn.,
50,I am full of ideas.,アイデアに満ちている。,Tôi tràn đầy ý tưởng.,
51,I am reserved.,私は控えめだ。,Tôi là người dè dặt.,
52,I am generally trusting.,私は基本的に人を信頼している。,Tôi nhìn chung là người cả tin.,
53,I tend to be lazy.,私は怠けがちだ。,Tôi có xu hướng lười biếng.,
54,I have few artistic interests.,芸術的な興味はほとんどない。,Tôi có ít hứng thú nghệ thuật.,
55,I am outgoing and sociable.,私は外向的で社交的だ。,Tôi là người cởi mở và hòa đồng.,
56,I tend to find fault with others.,私は他人のあらを探しがちだ。,Tôi có xu hướng tìm lỗi của người khác.,
57,I do a thorough job.,私は仕事を徹底的にやる。,Tôi làm việc một cách kỹ lưỡng.,
58,I get nervous easily.,私は緊張しやすい。,Tôi dễ bị căng thẳng (lo lắng).,
59,I warm up quickly to others.,私はすぐに他人と打ち解ける。,Tôi nhanh chóng thân thiết với người khác.,
60,I prefer to be alone.,私は一人でいることを好む。,Tôi thích ở một mình.,
61,I am always on the go.,私はいつも活動している。,Tôi luôn luôn di chuyển (năng động).,
62,I can talk others into doing things.,私は他人を説得して何かをさせることができる。,Tôi có thể thuyết phục người khác làm mọi việc.,
63,I seek quiet.,私は静けさを求める。,Tôi tìm kiếm sự yên tĩnh.,
64,I am assertive and take charge.,私は自己主張が強く、主導権を握る。,Tôi quyết đoán và chịu trách nhiệm.,
65,I hold back from expressing my opinions.,私は自分の意見を言うのを控える。,Tôi giữ lại ý kiến của mình.,
66,I enjoy being part of a group.,私はグループの一員であることを楽しむ。,Tôi thích là một phần của nhóm.,
67,I let things proceed at their own pace.,私は物事を自分のペースで進ませる。,Tôi để mọi thứ diễn ra theo tốc độ của chúng.,
68,I am not easily bothered by things.,私は物事にあまり動じない。,Tôi không dễ bị làm phiền bởi mọi thứ.,
69,I become overwhelmed by emotions.,私は感情が強く押し寄せてコントロールしにくくなることがある。,Tôi bị choáng ngợp bởi cảm xúc.,
70,I am calm, even in tense situations.,私は緊張した状況でも冷静だ。,Tôi bình tĩnh ngay cả trong tình huống căng thẳng.
71,I am afraid that I will do the wrong thing.,私は間違ったことをするのではないかと心配だ。,Tôi sợ rằng mình sẽ làm điều sai trái.,
72,I keep my cool.,私は冷静さを保つ。,Tôi giữ bình tĩnh.,
73,I do things I later regret.,私は後で後悔することをすることがある。,Tôi làm những điều mà sau này tôi hối tiếc.,
74,I love to read challenging material.,私はやりがいのある読み物が大好きだ。,Tôi thích đọc tài liệu thử thách.,
75,I am interested in many things.,私は多くのことに興味がある。,Tôi quan tâm đến nhiều thứ.,
76,I try to understand myself.,私は自分自身を理解しようと努めている。,Tôi cố gắng hiểu bản thân mình.,
77,I believe in the importance of art.,私は芸術の重要性を信じている。,Tôi tin vào tầm quan trọng của nghệ thuật.,
78,I prefer to stick with things that I know.,私は自分が知っていることに固執するのを好む。,Tôi thích gắn bó với những điều tôi biết.,
79,I tend to vote for conservative political candidates.,私は保守的な政治候補者に投票する傾向がある。,Tôi có xu hướng bỏ phiếu cho các ứng cử viên chính trị bảo thủ.,
80,I suspect hidden motives in others.,私は他人の隠された動機を疑う。,Tôi nghi ngờ động cơ thầm kín của người khác.,
81,I trust others.,私は他人を信頼する。,Tôi tin tưởng người khác.,
82,I contradict others.,私は人の意見に対して反対したり言い返したりすることが多い。,Tôi hay phản bác người khác.,
83,I value cooperation over competition.,私は競争よりも協力を重んじる。,Tôi coi trọng sự hợp tác hơn cạnh tranh.,
84,I am easy to satisfy.,私はあまり不満を持たず、満足しやすい性格だ。,Tôi dễ hài lòng.,
85,I think highly of myself.,私は自分自身を高く評価している。,Tôi nghĩ cao về bản thân mình.,
86,I put people under pressure.,私は人々にプレッシャーをかける。,Tôi gây áp lực cho mọi người.,
87,I complete tasks successfully.,私はタスクを成功裏に完了する。,Tôi hoàn thành nhiệm vụ một cách thành công.,
88,I often make last-minute plans.,私はよく直前に計画を立てる。,Tôi thường lập kế hoạch vào phút chót.,
89,I excel in what I do.,私は自分のやることに秀でている。,Tôi xuất sắc trong những gì tôi làm.,
90,I postpone decisions.,私は決断を先延ばしにする。,Tôi trì hoãn các quyết định.,
91,I work hard.,私は一生懸命働く。,Tôi làm việc chăm chỉ.,
92,I pay my bills on time.,私は請求書を期日通りに支払う。,Tôi thanh toán hóa đơn đúng hạn.,
93,I don't see the consequences of things.,私は物事の結果が見えない。,Tôi không nhìn thấy hậu quả của mọi việc.,
94,I believe that others have good intentions.,他人は善意を持っていると信じている。,Tôi tin rằng người khác có ý định tốt.,
95,I am patient with people.,人々に対して忍耐強い。,Tôi kiên nhẫn với mọi người.,
96,I accept people as they are.,人々をありのままに受け入れる。,Tôi chấp nhận mọi người như họ vốn có.,
97,I can be cold and aloof.,冷たく、よそよそしいことがある。,Tôi có thể lạnh lùng và xa cách.,
98,I am skeptical of others' intentions.,他人の意図を疑う。,Tôi hoài nghi về ý định của người khác.,
99,I look down on others.,他人を見下す。,Tôi coi thường người khác.,
100,I am diligent and persistent.,勤勉で粘り強い。,Tôi siêng năng và kiên trì.,
101,I like to plan things in advance.,物事を前もって計画するのが好きだ。,Tôi thích lên kế hoạch trước cho mọi việc.,
102,I have trouble starting tasks.,タスクを始めるのが苦手だ。,Tôi gặp khó khăn khi bắt đầu công việc.,
103,I am easily distracted.,注意散漫になりやすい。,Tôi dễ bị phân tâm.,
104,I rush into things.,物事に突進する。,Tôi vội vàng trong mọi việc.,
105,I neglect my duties.,自分の義務を怠る。,Tôi xao lãng nhiệm vụ của mình.,
106,I am emotionally stable.,感情的に安定している。,Tôi ổn định về mặt cảm xúc.,
107,I am not easily annoyed.,簡単にイライラしない。,Tôi không dễ bị khó chịu.,
108,I rarely feel anxious or afraid.,不安や恐れを感じることはめったにない。,Tôi hiếm khi cảm thấy lo lắng hay sợ hãi.,
109,I handle setbacks well.,挫折にうまく対処する。,Tôi xử lý tốt các thất bại.,
110,I am secure in myself.,自分に自信を持っている。,Tôi tự tin vào bản thân.,
111,I am content with my life.,自分の人生に満足している。,Tôi hài lòng với cuộc sống của mình.,
112,My emotions are quite steady.,私の感情は非常に安定している。,Cảm xúc của tôi khá ổn định.,
113,I feel at peace most of the time.,ほとんどの場合、心の平穏を感じている。,Tôi cảm thấy bình yên trong hầu hết thời gian.,
114,I am cheerful and high-spirited.,陽気で元気いっぱいだ。,Tôi vui vẻ và phấn khởi.,
115,I love large parties.,大きなパーティーが大好きだ。,Tôi yêu thích các bữa tiệc lớn.,
116,I find it hard to approach others.,他人に近づくのが難しいと感じる。,Tôi thấy khó tiếp cận người khác.,
117,I prefer to spend time alone.,一人で時間を過ごすことを好む。,Tôi thích dành thời gian một mình hơn.,
118,I enjoy thinking about complex problems.,複雑な問題について考えるのを楽しむ。,Tôi thích suy nghĩ về các vấn đề phức tạp.,
119,I am curious about the world.,世界について好奇心が強い。,Tôi tò mò về thế giới.,
120,I avoid philosophical discussions.,哲学的な議論を避ける。,Tôi tránh các cuộc thảo luận triết học.,
121,I am not interested in theoretical concepts.,理論的な概念に興味がない。,Tôi không quan tâm đến các khái niệm lý thuyết.,
122,I dislike change.,変化が嫌いだ。,Tôi không thích sự thay đổi.,
123,I prefer simple, straightforward tasks.,単純で簡単なタスクを好む。,Tôi thích các nhiệm vụ đơn giản rõ ràng.
124,I have a limited imagination.,想像力が乏しい。,Tôi có trí tưởng tượng hạn chế.,
125,I avoid intellectual challenges.,知的な挑戦を避ける。,Tôi tránh các thử thách trí tuệ.,